Date,Open,High,Low,Close,Volume
2010-01-04,34.192047021821466,34.39797592163086,34.192047021821466,34.39797592163086,1316800
2010-01-05,34.483453037065225,34.61167391191953,34.35523216221091,34.561161041259766,733000
2010-01-06,34.596108905975846,34.68158943284729,34.580566722511186,34.65050506591797,715700
2010-01-07,34.72823649754849,34.82537298659727,34.62333039369877,34.7904052734375,956000
2010-01-08,34.79817627267353,34.895312765586866,34.77875075271317,34.84480285644531,711400
2010-01-11,34.77485526501886,34.8564495417599,34.76708565196388,34.8137092590332,895800
2010-01-12,34.7748483407479,35.081799871770414,34.60000392031302,34.634971618652344,1133900
2010-01-13,34.619442066766815,34.743776646857384,34.619442066766815,34.71269226074219,868900
2010-01-14,34.75154113769531,34.76708332713571,34.66217428950541,34.75154113769531,394600
2010-01-15,34.78262580414538,34.78262580414538,34.576696962453845,34.61166763305664,835300
2010-01-19,34.580582138536684,34.65829012613383,34.56892623683409,34.6272087097168,796900
2010-01-20,34.6388670692073,34.66217887426658,34.52618840413757,34.576698303222656,588500
2010-01-21,34.642723667554826,34.642723667554826,34.036590576171875,34.036590576171875,1416800
2010-01-22,34.1881105096392,34.20753896629131,33.651918899816714,33.71408462524414,1394400
2010-01-25,33.89672967860802,33.97444060557551,33.70634309518297,33.764625549316406,711300
2010-01-26,33.88121002992612,33.97057691429058,33.76464800849463,33.80738830566406,576000
2010-01-27,33.7879730609547,33.9667039353551,33.77243085913224,33.81905746459961,876500
2010-01-28,33.846242715369314,33.896752628819975,33.62865790127937,33.6752815246582,833700
2010-01-29,33.908414994727636,33.908414994727636,33.50044339058426,33.504329681396484,1357000
2010-02-01,33.65428930556315,33.78350370332942,33.536824115417325,33.666038513183594,924700
2010-02-02,33.779572295385016,33.91270303655272,33.67385337248176,33.767826080322266,1238500
2010-02-03,33.83047774004648,33.95185928310506,33.759997459839234,33.94011306762695,641200
2010-02-04,33.79130604198001,33.810882062351205,33.431072016571534,33.45848083496094,1762600
2010-02-05,33.411519222487364,33.411519222487364,32.67539103858289,33.262725830078125,3261500
2010-02-08,33.20399034528368,33.333201711929924,33.04345075627091,33.11784744262695,1202400
2010-02-09,33.22748154494499,33.301878228540474,33.07085836295706,33.184410095214844,853800
2010-02-10,33.16482836871727,33.25097126114247,32.73411689392973,32.738033294677734,1463200
2010-02-11,32.8554913469442,33.055182913802085,32.651880393201274,32.871150970458984,1157700
2010-02-12,32.87507400083443,32.95730048389097,32.647970578675526,32.85158157348633,743100
2010-02-16,32.761504061518025,33.29010429410865,32.761504061518025,33.17655563354492,1061300
2010-02-17,33.34887241660466,33.4663405827753,33.333209795292596,33.43109893798828,1400200
2010-02-18,33.47416911660192,33.826570614265755,33.47416911660192,33.748260498046875,1153400
2010-02-19,33.818706464649715,33.979242936122766,33.79129765306473,33.97532653808594,1485600
2010-02-22,34.02234138894203,34.088905271782174,33.95186110495283,34.01842498779297,1596200
2010-02-23,34.07324092614505,34.10456615907099,33.65427564461108,33.77174377441406,1014900
2010-02-24,33.89704642809534,34.0575860286406,33.810903519250466,33.900962829589844,1047000
2010-02-25,33.783495147040504,33.928372130934775,33.67385980240228,33.904876708984375,503400
2010-02-26,33.967524079374414,34.151556099911225,33.932285430678675,34.13197708129883,697900
2010-03-01,34.1974666061383,34.2329683557405,34.12251445523178,34.158016204833984,1468800
2010-03-02,34.27241786351443,34.39865133041042,34.197468717623316,34.378929138183594,1291800
2010-03-03,34.43020826950578,34.46965566110495,34.355256118717215,34.4144287109375,986800
2010-03-04,34.489370521864345,34.489370521864345,34.3513031878381,34.44203186035156,641100
2010-03-05,34.552489871430396,34.651109837511164,34.43414771791898,34.64716720581055,975800
2010-03-08,34.70240230747374,34.753683618424944,34.63139579481033,34.65506362915039,937900
2010-03-09,34.64322016105706,34.80495834350586,34.635331888332864,34.80495834350586,630800
2010-03-10,34.72209898854929,34.832555823482345,34.71421071944601,34.816776275634766,640200
2010-03-11,34.78127546003674,34.81283455928826,34.72210290135047,34.785221099853516,488500
2010-03-12,34.789182520624024,34.860189021329006,34.77340296384039,34.79312515258789,636700
2010-03-15,34.79707039641232,34.81284995301557,34.68661650983227,34.75367736816406,471400
2010-03-16,34.80101803217066,34.903583651147734,34.710286328913476,34.87202453613281,923300
2010-03-17,34.89963800936015,34.966698871534724,34.84835369505019,34.87202453613281,918300
2010-03-18,34.90357569692242,34.96669090292599,34.87596222998794,34.92329788208008,637200
2010-03-19,34.749717712402344,34.95090321590438,34.70238207132526,34.749717712402344,674600
2010-03-22,34.694502136879905,34.91935553445009,34.63927519780249,34.91541290283203,759000
2010-03-23,34.9193644101375,34.95092352895831,34.84441526499209,34.911476135253906,699200
2010-03-24,34.903594894263534,34.94698492933224,34.8523105634339,34.89175796508789,430800
2010-03-25,34.96669520406892,35.03375605920984,34.91541390478043,34.974586486816406,1005200
2010-03-26,34.95881447801335,34.990370586888126,34.911475800236396,34.9627571105957,1312500
2010-03-29,35.00615692138672,35.01404820736512,34.99037735907369,35.00615692138672,546200
2010-03-30,35.01010475205845,35.0574434419556,34.93515257879896,34.97065734863281,605600
2010-03-31,34.93909377141085,34.95092768996671,34.63928812620681,34.860198974609375,1255400
2010-04-01,34.91106785256948,34.97465959821429,34.77593994140625,34.77593994140625,773100
2010-04-05,34.83552413548448,34.96667971506613,34.74013963770623,34.760009765625,930200
2010-04-06,34.779905215950976,35.00644543849886,34.756056802058254,34.986572265625,679100
2010-04-07,34.938878733336615,35.07003135436054,34.9349034926328,35.038238525390625,859000
2010-04-08,35.01439274652242,35.11375254604843,34.978624674158866,35.09785461425781,736100
2010-04-09,35.09387201594454,35.201179233487366,35.07797408886051,35.149513244628906,679800
2010-04-12,35.193245625883314,35.236964184501964,35.14952706726467,35.157474517822266,443300
2010-04-13,35.229027074096145,35.300566285152634,35.229027074096145,35.252872467041016,1162900
2010-04-14,35.332330529453344,35.38002127264366,35.292587232721694,35.348228454589844,857700
2010-04-15,35.38003087131279,35.55888030345618,35.340287563798704,35.44362258911133,1251000
2010-04-16,35.43170856148092,35.51119519593987,35.01439615001956,35.157474517822266,1334100
2010-04-19,35.07797828177571,35.16938758316076,34.99451642877287,35.089900970458984,757200
2010-04-20,35.23698239266655,35.90070553325175,35.17736586990605,35.46749496459961,1299400
2010-04-21,35.50722651751008,35.5350501801563,35.40786668996089,35.471458435058594,553100
2010-04-22,35.45953447308433,35.45953447308433,35.28466021253943,35.36812210083008,250700
2010-04-23,35.37208877525006,35.61055168863912,35.32042277088558,35.598628997802734,676000
2010-04-26,35.53106506158292,35.65029500216722,35.53106506158292,35.598628997802734,440100
2010-04-27,35.598618313929684,35.66221002226584,35.121692630286724,35.149513244628906,1220700
2010-04-28,35.29260333815306,35.34029410310658,35.173370361328125,35.173370361328125,988000
2010-04-29,35.33630396844777,35.46348433084088,35.328353490175004,35.41579055786133,812200
2010-04-30,35.35617368770996,35.578738561249736,35.35617368770996,35.53104782104492,809800
2010-05-03,35.54707029623727,35.66315600990095,35.52705383300781,35.52705383300781,639000
2010-05-04,35.450989238932586,35.47901045049936,35.15076066325305,35.16276931762695,786100
2010-05-05,34.92660507439276,34.96663495649785,34.4662537949736,34.68241882324219,2567500
2010-05-06,34.538316054563296,34.63038755140816,31.60808347973611,33.82176971435547,6587300
2010-05-07,33.805752568024865,34.073959211675785,33.02916302429386,33.81776428222656,2584000
2010-05-10,34.78250646618951,34.98666290220993,34.27011647734906,34.450252532958984,1670100
2010-05-11,34.29411326185567,34.77848172848987,34.258087293946964,34.41020202636719,1524400
2010-05-12,34.6263719165335,34.83853301303341,34.59835069726151,34.830528259277344,1031200
2010-05-13,34.862551703339726,34.92660195224972,34.61436462402344,34.61436462402344,1151600
2010-05-14,34.51029124064352,34.61036748355946,34.17003262554622,34.41421890258789,1050700
2010-05-17,34.40620801562055,34.50228339916788,34.07395723995997,34.370182037353516,1120800
2010-05-18,34.55433650207349,34.610378972382804,34.19006044506296,34.29814147949219,1067400
2010-05-19,34.190036694362256,34.286108997570565,33.72968553311046,34.097965240478516,1565100
2010-05-20,33.58157694328494,33.58157694328494,32.556797403244246,33.08119583129883,3092800
2010-05-21,32.62084579312691,33.78573453048825,32.59682847617812,33.745704650878906,1815000
2010-05-24,33.665650993059224,34.10598589668058,33.6216171972886,33.797752380371094,1266200
2010-05-25,33.30538187565205,33.757728576660156,32.82902090091848,33.757728576660156,1507500
2010-05-26,33.88179573273353,34.0459221555766,33.30135503368223,33.3533935546875,1738300
2010-05-27,33.6816460872235,33.977870788121855,33.6816460872235,33.81374740600586,828500
2010-05-28,33.9418479319819,33.961861341639015,33.75370416752028,33.86979293823242,1253900
2010-06-01,33.725798576020395,34.0242918031223,33.628990544049586,33.70966339111328,770300
2010-06-02,33.854870432928564,33.93957782921124,33.76209390701635,33.88310623168945,1414500
2010-06-03,33.97185161796495,34.044458404595076,33.766131876267686,33.89521026611328,877200
2010-06-04,33.68543408230033,33.943590670747625,33.6128273494577,33.70560073852539,1439000
2010-06-07,33.66929963903016,33.99199384283378,33.471649169921875,33.471649169921875,992900
2010-06-08,33.68951212536534,33.68951212536534,33.29824521720712,33.524131774902344,1085200
2010-06-09,33.60075239978642,33.66125549213468,33.4837746254604,33.596717834472656,1081900
2010-06-10,33.72580081079472,33.9395866394043,33.62899277240912,33.9395866394043,588200
2010-06-11,33.758062746485514,33.99604975584966,33.717723252889776,33.98798370361328,468300
2010-06-14,34.0242985735037,34.16547762269384,33.98396214194543,34.03236770629883,843100
2010-06-15,34.14530067485295,34.45992905482962,34.1089957431402,34.363121032714844,1387200
2010-06-16,34.282426689263005,34.415539571541096,34.20578845679038,34.39133834838867,1877200
2010-06-17,34.48815689729671,34.66564079477522,34.43168530763916,34.649505615234375,1097000
2010-06-18,34.68179236845241,34.822971409331856,34.66162261512437,34.79876708984375,734300
2010-06-21,35.0004396866791,35.02060943273082,34.879430442782294,34.92380142211914,1094400
