Date,Open,High,Low,Close,Volume
2010-01-04,61.28753610188954,61.43257021030523,61.21156510188455,61.34278869628907,619100
2010-01-05,61.50849003873811,61.70877657492629,61.50849003873811,61.61208724975586,1547500
2010-01-06,61.570658805544454,61.60518770110791,61.31511968634092,61.36346435546875,365500
2010-01-07,61.37728012903313,61.501595745243804,61.33583807751374,61.36346435546875,390900
2010-01-08,61.556853244512375,61.56376113244061,61.34275614130865,61.43944549560547,382500
2010-01-11,61.47393616176604,61.57062544763711,61.41868363579089,61.480838775634766,653600
2010-01-12,61.881436219883156,61.96431504170558,61.7985626672337,61.92287826538086,403000
2010-01-13,61.79859112589437,61.929809401073875,61.60520711925408,61.62593078613281,281900
2010-01-14,61.805419059149834,61.99879756293344,61.73635606053698,61.91592407226563,511700
2010-01-15,62.14388556066019,62.26129327751204,62.130069788575746,62.192230224609375,429200
2010-01-19,62.06098861782739,62.130051650568056,61.957391434130564,62.08170700073243,411900
2010-01-20,62.25435868054577,62.37867423010087,62.24745079746745,62.29579544067383,228800
2010-01-21,62.21290312461217,62.57203389862,62.19908736262956,62.52368927001954,349200
2010-01-22,62.47537848318131,62.62732033227811,62.45466009815396,62.578975677490234,272900
2010-01-25,62.44085693359375,62.52373048343937,62.433949048049016,62.44085693359375,1699000
2010-01-26,62.634261521983156,62.648072029620884,62.447785419236354,62.56519317626953,490600
2010-01-27,62.59969216737616,62.71709985842487,62.36487678527877,62.42012405395508,342100
2010-01-28,62.219842121206725,62.468473290594304,62.219842121206725,62.399410247802734,318100
2010-01-29,62.33721595641289,62.64109420776368,62.26124507628292,62.64109420776368,396700
2010-02-01,62.544117905049674,62.544117905049674,62.3570230828473,62.426315307617195,634300
2010-02-02,62.45403514316207,62.53718898739484,62.43324800376839,62.53025817871094,426000
2010-02-03,62.35011005512051,62.39861515084496,62.211520291151395,62.23230743408203,435300
2010-02-04,62.502559685114875,62.77280315466451,62.502559685114875,62.74509048461914,503400
2010-02-05,62.70347377627499,63.05687090667514,62.66189950916552,62.94599914550781,694700
2010-02-08,62.83515476764633,62.90444699941498,62.7520009175289,62.89059066772461,257600
2010-02-09,62.72427384697567,62.86979438518614,62.5371843197385,62.55104064941407,481200
2010-02-10,62.64807925717041,62.68272273749164,62.287751112544385,62.377830505371094,496200
2010-02-11,62.38473851753221,62.38473851753221,62.13528228908118,62.30158996582031,496900
2010-02-12,62.50257419430545,62.55107930813422,62.433281929787334,62.4471435546875,219800
2010-02-16,62.32239598022699,62.60649576238814,62.30160883600291,62.58570861816406,175400
2010-02-17,62.426326957063345,62.516411624067096,62.142227196493245,62.25309371948243,358000
2010-02-18,62.29468238393641,62.29468238393641,61.885849134509705,62.03136444091796,474300
2010-02-19,61.989839807592446,62.066062927246094,61.85125520094793,62.066062927246094,527900
2010-02-22,61.9758970467842,62.072907193504044,61.96203543344908,62.01747131347656,349700
2010-02-23,62.09373683217495,62.523357266493335,62.07294968459924,62.48870849609375,557200
2010-02-24,62.509511023912,62.62730841359805,62.398644447343194,62.523372650146484,394300
2010-02-25,62.75891063472595,62.793559382294745,62.65496967867619,62.75197982788087,256600
2010-02-26,62.79356079800247,62.994511907787434,62.78662999100112,62.84899139404297,609900
2010-03-01,62.92128136308014,62.96297309694103,62.810115774930544,62.914337158203125,468600
2010-03-02,62.78232656419022,62.962976618572114,62.75453384036838,62.94907760620117,417900
2010-03-03,62.81706412000114,62.92128020042828,62.74063546040814,62.88654327392578,476700
2010-03-04,62.8587414498216,63.07412838607447,62.78926230595799,62.99769973754883,431100
2010-03-05,62.747572394606124,62.76147140433237,62.56692767551726,62.698936462402344,549900
2010-03-08,62.53913792071981,62.58777385522845,62.51134520086926,62.53218841552735,399800
2010-03-09,62.65727055209237,62.692012786865234,62.53220592819914,62.692012786865234,350500
2010-03-10,62.48355480599428,62.601669894064635,62.44881257965853,62.58777618408203,329800
2010-03-11,62.46965877155308,62.62946028454463,62.42796704131761,62.53218841552735,283100
2010-03-12,62.39319881469065,62.70585747954054,62.38624931298473,62.62942886352538,276400
2010-03-15,62.62247936181947,62.671115271927604,62.51131383910801,62.62942886352538,190100
2010-03-16,62.64336944716794,62.90044287083913,62.62252092821177,62.872650146484375,388200
2010-03-17,62.92128488237934,62.96992082383753,62.844856217099306,62.94907760620117,288300
2010-03-18,62.90044848738783,62.94213492718217,62.761490154126264,62.78233337402343,202600
2010-03-19,62.698936462402344,62.89348019121745,62.691992258458264,62.698936462402344,171300
2010-03-22,62.851812770001246,62.90739822387695,62.80317682309016,62.90739822387695,338100
2010-03-23,62.88652332978522,62.94905295821055,62.775352478027344,62.775352478027344,244100
2010-03-24,62.44184522469901,62.52521805552299,62.05970208036401,62.1500244140625,531300
2010-03-25,62.02499246048209,62.09447692390557,61.71233357875769,61.9207763671875,601900
2010-03-26,61.85820771573523,62.08749359793049,61.85125821299426,62.066650390625,734100
2010-03-29,62.045772228225914,62.09440811817758,61.90680875628227,61.976287841796875,521400
